Age,Gender,Lifetime Giving,Status
43,Male,$0.00,Nondonor
67,Female,$515.00,Low
20,Male,$0.00,Nondonor
69,Female,$762.00,Low
49,Male,$0.00,Nondonor
64,Male,$220.00,Low
64,Female,$75.00,Low
54,Female,$100.00,Low
74,Female,"$3,042.00",High
83,Male,$0.00,Nondonor
56,Male,$60.00,Low
38,Male,$0.00,Nondonor
54,Male,$0.00,Nondonor
45,Male,$0.00,Nondonor
27,Male,$0.00,Nondonor
33,Male,$0.00,Nondonor
33,Male,$0.00,Nondonor
25,Female,$0.00,Nondonor
35,Female,$300.00,Low
86,Female,$150.00,Low
42,Female,$0.00,Nondonor
20,Male,$0.00,Nondonor
68,Female,$0.00,Nondonor
38,Female,$0.00,Nondonor
95,Female,"$1,285.00",High
56,Male,"$1,254.00",High
67,Male,"$1,834.00",High
38,Male,$0.00,Nondonor
72,Female,$12.00,Low
43,Female,$0.00,Nondonor
61,Female,"$1,211.00",High
76,Male,$60.00,Low
44,Female,$12.00,Low
78,Female,$0.00,Nondonor
73,Female,$0.00,Nondonor
67,Female,$35.00,Low
55,Female,$187.50,Low
33,Male,$950.00,Low
45,Male,$0.00,Nondonor
84,Female,$0.00,Nondonor
59,Female,$364.00,Low
23,Male,$12.00,Low
59,Female,$0.00,Nondonor
21,Male,$0.00,Nondonor
27,Male,$0.00,Nondonor
48,Female,$690.50,Low
51,Male,$0.00,Nondonor
78,Female,$0.00,Nondonor
42,Male,$0.00,Nondonor
36,Female,$0.00,Nondonor
20,Female,$0.00,Nondonor
42,Female,$67.50,Low
43,Female,$0.00,Nondonor
72,Male,$0.00,Nondonor
71,Female,$729.00,Low
48,Female,$0.00,Nondonor
37,Male,$0.00,Nondonor
56,Male,"$7,615.00",High
52,Female,$0.00,Nondonor
29,Male,$0.00,Nondonor
58,Female,$0.00,Nondonor
51,Male,$0.00,Nondonor
27,Male,$0.00,Nondonor
88,Female,$351.00,Low
82,Male,$160.00,Low
23,Male,$0.00,Nondonor
43,Female,$0.00,Nondonor
20,Female,$0.00,Nondonor
73,Male,$0.00,Nondonor
56,Female,$0.00,Nondonor
36,Male,$0.00,Nondonor
61,Female,$0.00,Nondonor
38,Male,$90.00,Low
66,Female,$872.00,Low
66,Female,"$1,018.95",High
37,Male,$0.00,Nondonor
51,Male,$162.55,Low
75,Female,$271.00,Low
73,Male,"$1,429.50",High
82,Male,$0.00,Nondonor
31,Male,$0.00,Nondonor
62,Male,$0.00,Nondonor
45,Female,$0.00,Nondonor
36,Female,$0.00,Nondonor
34,Female,$0.00,Nondonor
41,Female,$245.00,Low
64,Female,$0.00,Nondonor
33,Female,$0.00,Nondonor
75,Female,$0.00,Nondonor
75,Female,$405.00,Low
23,Male,$0.00,Nondonor
95,Female,$577.50,Low
53,Female,$0.00,Nondonor
41,Female,$30.00,Low
53,Male,$210.00,Low
20,Female,$0.00,Nondonor
54,Male,$12.50,Low
88,Female,"$2,406.95",High
37,Female,$0.00,Nondonor
22,Male,$0.00,Nondonor
50,Male,$217.95,Low
43,Male,$24.00,Low
41,Female,$0.00,Nondonor
64,Female,$20.00,Low
97,Male,$485.00,Low
43,Female,$0.00,Nondonor
48,Female,$612.95,Low
77,Male,$0.00,Nondonor
79,Male,"$2,865.95",High
80,Male,$566.50,Low
46,Female,$0.00,Nondonor
63,Female,$0.00,Nondonor
78,Female,$204.00,Low
73,Male,$265.00,Low
53,Female,$0.00,Nondonor
44,Female,$0.00,Nondonor
72,Male,$240.00,Low
21,Female,$0.00,Nondonor
86,Male,$527.50,Low
41,Female,$800.00,Low
21,Male,$0.00,Nondonor
71,Male,$0.00,Nondonor
25,Female,$0.00,Nondonor
52,Female,$0.00,Nondonor
65,Male,$731.00,Low
78,Female,$36.00,Low
62,Female,$0.00,Nondonor
32,Female,$0.00,Nondonor
22,Female,$0.00,Nondonor
47,Female,$12.50,Low
70,Male,"$1,048.00",High
43,Male,$0.00,Nondonor
49,Female,$0.00,Nondonor
65,Male,$0.00,Nondonor
48,Male,$0.00,Nondonor
57,Male,$0.00,Nondonor
55,Female,$255.00,Low
86,Female,$197.50,Low
50,Female,$0.00,Nondonor
20,Female,$0.00,Nondonor
82,Female,$187.50,Low
24,Male,$0.00,Nondonor
57,Female,$0.00,Nondonor
40,Female,$147.50,Low
69,Male,$180.00,Low
34,Male,$0.00,Nondonor
21,Male,$0.00,Nondonor
73,Male,$84.00,Low
53,Female,$0.00,Nondonor
95,Male,$90.00,Low
64,Male,$600.00,Low
32,Female,$135.00,Low
52,Female,$30.00,Low
82,Male,$330.00,Low
23,Female,$0.00,Nondonor
49,Female,$48.00,Low
45,Female,$0.00,Nondonor
92,Female,$182.50,Low
36,Male,$0.00,Nondonor
34,Male,$0.00,Nondonor
20,Male,$0.00,Nondonor
56,Female,$20.00,Low
20,Female,$112.85,Low
68,Female,$0.00,Nondonor
43,Male,$0.00,Nondonor
51,Male,$0.00,Nondonor
70,Female,$557.50,Low
55,Female,$196.50,Low
70,Male,$25.00,Low
40,Male,$0.00,Nondonor
27,Female,$0.00,Nondonor
39,Male,$0.00,Nondonor
48,Female,$55.00,Low
38,Female,$0.00,Nondonor
47,Female,$0.00,Nondonor
93,Male,$22.00,Low
20,Female,$0.00,Nondonor
51,Female,$842.50,Low
21,Male,$0.00,Nondonor
44,Female,$355.00,Low
70,Male,$80.00,Low
23,Male,$0.00,Nondonor
79,Male,"$3,373.00",High
35,Female,$0.00,Nondonor
67,Male,$540.00,Low
82,Female,$485.00,Low
72,Female,$315.00,Low
39,Male,"$5,309.00",High
70,Male,$0.00,Nondonor
31,Female,$0.00,Nondonor
72,Male,$0.00,Nondonor
58,Male,"$1,125.00",High
23,Male,$0.00,Nondonor
50,Male,$0.00,Nondonor
21,Male,$0.00,Nondonor
50,Female,$112.00,Low
67,Female,"$2,542.00",High
33,Male,$0.00,Nondonor
20,Male,$0.00,Nondonor
87,Female,$469.00,Low
32,Female,$0.00,Nondonor
51,Female,$0.00,Nondonor
72,Female,"$1,916.00",High
49,Female,$75.00,Low
19,Female,$0.00,Nondonor
70,Female,$277.00,Low
77,Male,"$1,103.00",High
30,Male,$25.00,Low
42,Female,$0.00,Nondonor
29,Male,$0.00,Nondonor
48,Female,$0.00,Nondonor
81,Male,"$1,201.00",High
31,Male,$0.00,Nondonor
35,Female,$0.00,Nondonor
42,Female,$0.00,Nondonor
48,Female,$20.00,Low
47,Male,$12.50,Low
67,Female,"$1,229.50",High
24,Female,$0.00,Nondonor
80,Male,$0.00,Nondonor
24,Male,$0.00,Nondonor
52,Male,$0.00,Nondonor
78,Male,$40.00,Low
77,Male,"$1,524.00",High
80,Female,$25.00,Low
54,Female,$180.00,Low
98,Male,$450.00,Low
67,Male,$260.00,Low
46,Female,$0.00,Nondonor
30,Female,$15.00,Low
45,Male,$177.50,Low
61,Female,$65.00,Low
24,Male,$0.00,Nondonor
60,Female,$0.00,Nondonor
74,Male,"$3,075.00",High
19,Male,$0.00,Nondonor
29,Male,$0.00,Nondonor
39,Female,$0.00,Nondonor
69,Male,$70.00,Low
37,Female,$12.50,Low
48,Male,$0.00,Nondonor
37,Male,$0.00,Nondonor
77,Female,"$2,329.00",High
20,Male,$0.00,Nondonor
65,Male,$883.00,Low
87,Female,$0.00,Nondonor
71,Female,$0.00,Nondonor
31,Male,$150.00,Low
49,Female,$330.00,Low
76,Female,$490.00,Low
40,Male,$0.00,Nondonor
60,Male,$42.50,Low
51,Male,$42.50,Low
64,Male,$700.00,Low
71,Male,$676.00,Low
91,Female,$0.00,Nondonor
41,Male,$0.00,Nondonor
46,Female,$0.00,Nondonor
34,Female,$12.50,Low
45,Male,$0.00,Nondonor
83,Male,$792.00,Low
76,Male,"$1,265.50",High
45,Female,$0.00,Nondonor
20,Female,$0.00,Nondonor
73,Female,$0.00,Nondonor
37,Male,$0.00,Nondonor
75,Male,$0.00,Nondonor
51,Female,$12.50,Low
59,Female,$225.00,Low
59,Male,$0.00,Nondonor
53,Female,$973.00,Low
50,Male,$45.00,Low
74,Female,"$4,038.50",High
29,Female,$0.00,Nondonor
39,Male,$0.00,Nondonor
53,Female,$35.00,Low
42,Female,$0.00,Nondonor
62,Male,$0.00,Nondonor
20,Male,$0.00,Nondonor
46,Female,$270.00,Low
50,Female,$0.00,Nondonor
24,Male,$0.00,Nondonor
20,Female,$0.00,Nondonor
72,Male,$170.00,Low
91,Female,"$1,677.00",High
97,Male,$513.00,Low
31,Female,$0.00,Nondonor
33,Female,$0.00,Nondonor
56,Female,$15.00,Low
88,Male,$636.00,Low
42,Female,$0.00,Nondonor
57,Female,$93.50,Low
20,Male,$0.00,Nondonor
59,Female,$735.00,Low
54,Female,$0.00,Nondonor
52,Male,$0.00,Nondonor
35,Male,$0.00,Nondonor
19,Female,$0.00,Nondonor
77,Male,$0.00,Nondonor
56,Female,$710.00,Low
20,Male,$10.00,Low
79,Female,"$2,131.00",High
56,Female,$207.00,Low
22,Male,$0.00,Nondonor
49,Male,$0.00,Nondonor
35,Female,$0.00,Nondonor
68,Male,$845.50,Low
32,Female,$0.00,Nondonor
40,Male,$0.00,Nondonor
93,Male,$544.00,Low
77,Male,"$4,413.50",High
58,Female,$877.50,Low
23,Male,$0.00,Nondonor
71,Female,$71.00,Low
78,Female,$0.00,Nondonor
67,Male,"$1,840.00",High
80,Male,$0.00,Nondonor
70,Male,$75.00,Low
74,Female,$66.00,Low
49,Female,$621.50,Low
76,Male,$307.00,Low
83,Male,$477.00,Low
38,Male,$0.00,Nondonor
70,Female,$445.00,Low
38,Female,$0.00,Nondonor
46,Female,$0.00,Nondonor
47,Female,$0.00,Nondonor
76,Male,$250.00,Low
70,Male,$235.00,Low
76,Male,$80.00,Low
43,Male,$0.00,Nondonor
46,Female,$940.00,Low
30,Female,$0.00,Nondonor
60,Female,$0.00,Nondonor
65,Female,$0.00,Nondonor
84,Female,$70.00,Low
57,Male,$0.00,Nondonor
77,Female,$520.00,Low
56,Male,$50.00,Low
36,Male,$0.00,Nondonor
45,Female,$25.00,Low
74,Female,$130.00,Low
30,Female,$0.00,Nondonor
32,Female,$0.00,Nondonor
63,Female,"$1,085.00",High
57,Female,$577.50,Low
59,Female,$0.00,Nondonor
49,Female,$0.00,Nondonor
56,Female,$90.00,Low
47,Female,$0.00,Nondonor
29,Female,$35.00,Low
92,Female,"$2,221.00",High
54,Female,$0.00,Nondonor
20,Male,$0.00,Nondonor
56,Female,$923.00,Low
29,Female,$0.00,Nondonor
64,Female,$505.00,Low
53,Female,"$2,732.00",High
38,Female,$0.00,Nondonor
66,Female,$464.00,Low
88,Female,$0.00,Nondonor
86,Female,$868.50,Low
38,Male,$24.00,Low
77,Female,$0.00,Nondonor
20,Male,$0.00,Nondonor
46,Male,$137.50,Low
54,Female,$0.00,Nondonor
68,Female,$420.00,Low
59,Female,$535.00,Low
65,Male,$602.00,Low
60,Male,"$6,710.00",High
35,Male,$0.00,Nondonor
27,Female,$0.00,Nondonor
38,Male,$0.00,Nondonor
53,Female,$461.50,Low
38,Female,$540.00,Low
21,Male,$0.00,Nondonor
25,Male,$15.00,Low
36,Male,$0.00,Nondonor
60,Female,$315.00,Low
32,Female,$0.00,Nondonor
47,Female,$0.00,Nondonor
87,Female,$210.00,Low
70,Female,"$1,885.50",High
55,Male,$0.00,Nondonor
26,Male,$0.00,Nondonor
41,Female,$0.00,Nondonor
34,Male,$0.00,Nondonor
45,Female,$0.00,Nondonor
57,Female,$0.00,Nondonor
75,Male,$201.50,Low
21,Female,$0.00,Nondonor
43,Male,$0.00,Nondonor
71,Female,$124.50,Low
23,Female,$0.00,Nondonor
26,Female,$0.00,Nondonor
59,Male,$0.00,Nondonor
34,Female,$0.00,Nondonor
87,Female,$898.00,Low
48,Male,$135.00,Low
55,Male,$0.00,Nondonor
73,Female,$0.00,Nondonor
55,Female,$0.00,Nondonor
33,Female,$0.00,Nondonor
92,Male,$0.00,Nondonor
89,Female,$0.00,Nondonor
34,Female,$0.00,Nondonor
67,Female,$988.00,Low
55,Male,$600.00,Low
36,Male,$0.00,Nondonor
63,Male,"$2,586.00",High
55,Male,$0.00,Nondonor
41,Female,$0.00,Nondonor
34,Female,$0.00,Nondonor
62,Male,$0.00,Nondonor
85,Female,$170.00,Low
63,Male,$251.50,Low
48,Female,$0.00,Nondonor
46,Female,$0.00,Nondonor
71,Female,$532.00,Low
33,Male,$0.00,Nondonor
76,Male,$640.50,Low
41,Female,$12.50,Low
44,Female,$15.00,Low
86,Male,"$2,336.00",High
27,Male,$0.00,Nondonor
42,Male,$0.00,Nondonor
72,Male,$0.00,Nondonor
69,Male,"$2,306.00",High
38,Male,$0.00,Nondonor
25,Female,$0.00,Nondonor
58,Female,$0.00,Nondonor
72,Male,$900.50,Low
69,Female,$0.00,Nondonor
66,Male,$255.00,Low
45,Male,$0.00,Nondonor
64,Female,$0.00,Nondonor
82,Male,$120.00,Low
74,Female,$598.00,Low
28,Female,$0.00,Nondonor
65,Female,$45.00,Low
44,Male,$0.00,Nondonor
71,Male,$0.00,Nondonor
64,Female,$90.00,Low
68,Female,"$1,663.50",High
74,Female,$195.00,Low
31,Male,$0.00,Nondonor
20,Female,$0.00,Nondonor
35,Male,$0.00,Nondonor
63,Female,$0.00,Nondonor
29,Male,$0.00,Nondonor
47,Female,$0.00,Nondonor
74,Male,"$3,179.00",High
63,Female,$210.00,Low
27,Male,$0.00,Nondonor
45,Female,$100.00,Low
19,Female,$0.00,Nondonor
37,Female,$0.00,Nondonor
64,Female,$15.00,Low
42,Female,$0.00,Nondonor
66,Female,$0.00,Nondonor
70,Female,$345.00,Low
72,Female,$120.00,Low
25,Male,$0.00,Nondonor
27,Male,$0.00,Nondonor
69,Female,$0.00,Nondonor
79,Male,$647.50,Low
52,Male,$0.00,Nondonor
38,Female,$0.00,Nondonor
88,Male,$275.00,Low
19,Female,$0.00,Nondonor
85,Male,$0.00,Nondonor
42,Male,$0.00,Nondonor
49,Male,$0.00,Nondonor
20,Male,$0.00,Nondonor
24,Male,$0.00,Nondonor
30,Female,$0.00,Nondonor
29,Male,$500.00,Low
21,Male,$30.00,Low
77,Female,$335.00,Low
90,Female,$0.00,Nondonor
41,Female,$0.00,Nondonor
91,Female,$100.00,Low
40,Female,$0.00,Nondonor
78,Female,"$2,366.00",High
89,Male,$0.00,Nondonor
67,Male,$0.00,Nondonor
22,Male,$0.00,Nondonor
27,Female,$0.00,Nondonor
46,Female,$45.00,Low
81,Male,$788.00,Low
67,Female,$900.00,Low
48,Female,$0.00,Nondonor
24,Male,$0.00,Nondonor
31,Female,$0.00,Nondonor
22,Female,$0.00,Nondonor
20,Male,$0.00,Nondonor
83,Female,"$1,471.00",High
71,Female,"$3,428.00",High
20,Male,$0.00,Nondonor
67,Male,$0.00,Nondonor
38,Male,$0.00,Nondonor
73,Female,$0.00,Nondonor
51,Female,$30.00,Low
45,Male,$105.00,Low
38,Male,$0.00,Nondonor
53,Female,$25.00,Low
68,Female,$0.00,Nondonor
73,Female,$0.00,Nondonor
27,Female,$50.00,Low
53,Male,$24.00,Low
66,Female,$0.00,Nondonor
61,Female,$75.00,Low
59,Female,$900.00,Low
60,Male,"$1,525.00",High
45,Male,$0.00,Nondonor
62,Male,$441.95,Low
67,Male,$34.90,Low
67,Female,$0.00,Nondonor
33,Female,$0.00,Nondonor
30,Female,$0.00,Nondonor
34,Male,$0.00,Nondonor
81,Male,$466.60,Low
71,Female,$105.00,Low
55,Female,$720.00,Low
57,Male,$205.00,Low
71,Male,$0.00,Nondonor
65,Male,$0.00,Nondonor
30,Male,$0.00,Nondonor
49,Female,$499.00,Low
44,Female,$0.00,Nondonor
65,Female,$0.00,Nondonor
62,Female,$0.00,Nondonor
29,Male,$280.00,Low
53,Male,$0.00,Nondonor
62,Female,$0.00,Nondonor
23,Female,$0.00,Nondonor
81,Female,$0.00,Nondonor
30,Male,$0.00,Nondonor
77,Male,$0.00,Nondonor
61,Female,$814.50,Low
30,Female,$187.50,Low
55,Female,$954.00,Low
89,Male,$45.00,Low
79,Female,"$1,276.00",High
25,Male,$0.00,Nondonor
78,Male,$24.00,Low
68,Female,$0.00,Nondonor
20,Female,$0.00,Nondonor
21,Female,$0.00,Nondonor
81,Female,$0.00,Nondonor
37,Male,$0.00,Nondonor
35,Male,$60.00,Low
77,Male,$120.00,Low
37,Female,$0.00,Nondonor
42,Female,$440.00,Low
43,Male,$0.00,Nondonor
52,Female,$0.00,Nondonor
21,Female,$0.00,Nondonor
32,Female,$227.50,Low
47,Male,$0.00,Nondonor
24,Male,$0.00,Nondonor
29,Female,$0.00,Nondonor
41,Male,$0.00,Nondonor
84,Male,"$1,575.00",High
61,Female,$671.00,Low
51,Female,$0.00,Nondonor
74,Female,"$2,790.95",High
60,Male,$0.00,Nondonor
20,Male,$0.00,Nondonor
20,Male,$0.00,Nondonor
23,Male,$0.00,Nondonor
77,Male,$321.00,Low
20,Female,$0.00,Nondonor
68,Female,$170.00,Low
41,Female,$0.00,Nondonor
80,Female,$0.00,Nondonor
36,Male,$0.00,Nondonor
78,Female,$897.50,Low
68,Male,$75.00,Low
67,Female,$205.00,Low
21,Male,$0.00,Nondonor
66,Male,$15.00,Low
20,Female,$0.00,Nondonor
35,Female,$0.00,Nondonor
21,Female,$0.00,Nondonor
42,Female,$452.50,Low
28,Female,$0.00,Nondonor
25,Female,$0.00,Nondonor
30,Male,$0.00,Nondonor
28,Male,$15.00,Low
69,Male,"$1,960.00",High
20,Female,$0.00,Nondonor
56,Female,$15.00,Low
25,Male,$0.00,Nondonor
21,Male,$0.00,Nondonor
83,Male,$211.00,Low
66,Male,$25.00,Low
33,Male,$0.00,Nondonor
47,Female,$0.00,Nondonor
62,Female,"$3,834.00",High
49,Female,$227.50,Low
82,Male,$54.00,Low
52,Female,$0.00,Nondonor
67,Female,"$1,531.00",High
71,Male,$0.00,Nondonor
28,Female,$0.00,Nondonor
35,Female,$75.00,Low
23,Male,$0.00,Nondonor
54,Female,"$2,745.00",High
46,Female,$350.00,Low
52,Female,$25.00,Low
60,Female,$0.00,Nondonor
59,Female,"$1,658.50",High
69,Female,$845.00,Low
25,Male,$0.00,Nondonor
32,Female,$0.00,Nondonor
63,Female,"$1,255.00",High
75,Female,$386.50,Low
23,Male,$0.00,Nondonor
77,Male,$195.00,Low
41,Female,$0.00,Nondonor
67,Female,"$1,241.00",High
39,Female,$0.00,Nondonor
