lat,lng,val
-33.98832921,151.0312238,33477
-33.96537105,151.0228948,58792
-33.96390424,151.0551527,83561
-33.97297988,151.098082,91868
-33.97969952,151.0901252,54580
-33.9264957,151.0666859,91309
-33.96006931,151.0584035,28252
-33.99557129,151.0664901,55061
-33.9416528,151.0986132,99464
-33.95074103,151.0563803,62138
-33.94374915,151.0116477,59802
-33.95486025,151.0081356,77346
-33.97119224,151.0711934,48092
-33.98959775,151.0046232,37870
-33.90014642,151.0991022,45733
-33.9141092,151.0103306,13530
-33.95009482,151.0667059,33930
-33.95423043,151.0135607,24265
-33.98932745,151.009964,58576
-33.98508956,151.0439019,86577
-33.94380088,151.0000246,96108
-33.99875157,151.0477854,24975
-33.96314166,151.051379,16875
-33.99096451,151.0677984,66169
-33.99630146,151.0861205,32273
-33.95572725,151.0233752,63447
-33.90026046,151.0826196,25222
-33.98488474,151.0362793,43916
-33.9851108,151.003106,82879
-33.93580968,151.0039046,88378
-33.99258975,151.0446955,20611
-33.98083956,151.0199052,47420
-33.92482735,151.0442671,24058
-33.99340018,151.0237912,79646
-33.94108818,151.096171,20131
-33.98458525,151.0979639,33062
-33.96828928,151.0970055,79730
-33.93181062,151.0675224,23162
-33.90752075,151.0034268,78191
-33.94856112,151.0886955,95527
-33.94297806,151.0340369,64840
-33.99736803,151.0374491,85373
-33.91616286,151.0538748,41287
-33.91263214,151.0286351,78327
-33.968743,151.0331839,12958
-33.95863827,151.0514718,80131
-33.95810889,151.0171748,66295
-33.98207371,151.0550378,53369
-33.95746321,151.0791792,59998
-33.96500415,151.0035165,97539
-33.98880886,151.0672101,85663
-33.96629793,151.0394988,37047
-33.99395643,151.0620753,13384
-33.95032772,151.0481934,68393
-33.93238996,151.0308893,60542
-33.93958968,151.0510599,30193
-33.90402681,151.0745408,79693
-33.99260495,151.0407262,50505
-33.98067578,151.0644031,82725
-33.91580281,151.0818189,69359
-33.93839529,151.0796537,15805
-33.94525287,151.0188433,77480
-33.9980276,151.0353008,99685
-33.99418726,151.0965542,83244
-33.92727489,151.0491182,50843
-33.90736502,151.0926636,74899
-33.95652685,151.0870279,96137
-33.94314709,151.0545425,24747
-33.94840293,151.0267294,89531
-33.96834404,151.0587984,11416
-33.90714841,151.0668435,69904
-33.97765122,151.0118678,16215
-33.9061148,151.0816611,71708
-33.96918326,151.004553,40758
-33.95041829,151.048134,58522
-33.93137961,151.0770066,44771
-33.94839829,151.0640307,44413
-33.97107678,151.07575,32277
-33.99932941,151.0432152,46104
-33.93861433,151.0659771,92354
-33.96781501,151.0630754,31014
-33.94415319,151.0430847,14460
-33.98210015,151.0073104,85931
-33.96365796,151.0618584,93423
-33.99628334,151.0525981,36105
-33.93690246,151.0459915,11307
-33.99866779,151.0054975,45201
-33.91340039,151.0702985,46012
-33.96373175,151.0715519,72797
-33.97019017,151.0458363,70421
-33.97410644,151.0295225,41837
-33.9607902,151.0384612,46428
-33.9588284,151.0195298,44201
-33.92809967,151.0914241,87161
-33.9934517,151.0821349,31827
-33.91122914,151.0240988,82924
-33.90629767,151.0763628,69723
-33.9770329,151.0354148,76164
-33.95832853,151.0427885,45521
-33.98153285,151.0596313,31044
-33.90710161,151.0474525,86417
-33.99705559,151.0378436,40221
-33.91418921,151.0288355,67505
-33.94075777,151.0251679,46665
-33.99202234,151.0143824,78384
-33.97223852,151.0102861,86023
-33.90110933,151.0568228,66736
-33.97152557,151.0208347,54048
-33.90543927,151.0052684,19574
-33.91118303,151.0456522,82079
-33.99879364,151.0178848,63086
-33.95686434,151.0386023,82779
-33.94542742,151.0563967,79464
-33.92217997,151.0630692,97596
-33.96016165,151.0538366,48111
-33.97993719,151.014243,54154
-33.95444242,151.0328323,49013
-33.94345379,151.0531915,33746
-33.95428002,151.0272117,66026
-33.9547621,151.0895691,48342
-33.92839267,151.0960989,78413
-33.90969421,151.0897619,22174
-33.99519484,151.0060518,23512
-33.97012978,151.0607346,96669
-33.92985029,151.0091592,14155
-33.92491608,151.0064079,37731
-33.93178772,151.0803654,30012
-33.90988094,151.0545487,56922
-33.95906341,151.0610934,35675
-33.94770102,151.097218,13816
-33.91224359,151.0780604,24211
-33.94834366,151.0773866,87977
-33.97305704,151.0362359,21587
-33.95864203,151.0206121,69839
-33.94153021,151.0008202,40985
-33.90184514,151.0953658,52254
-33.92819059,151.0328917,45867
-33.93742592,151.0357767,25727
-33.90676725,151.0495705,49664
-33.90637362,151.0640833,63389
-33.91153759,151.0838742,69164
-33.90759243,151.0477769,91164
-33.94218952,151.0244,56707
-33.94778247,151.0587423,84201
