val	lat	lng
61000	-16.934184	145.994075
57040	-29.320772	153.271074
56640	-33.820797	149.474401
52835	-26.153831	152.616943
52115	-32.685033	149.602925
51765	-23.279639	150.885772
46870	-28.706486	153.25943
45295	-32.760486	150.972137
41440	-34.863483	150.61644
39825	-37.482132	143.662387
38060	-27.627661	151.94182
36485	-32.24224	148.657282
34910	-33.233929	149.116263
34190	-35.07459	147.376202
33550	-36.737758	149.699222
32390	-31.973082	151.865806
31210	-24.88776	152.297855
29745	-27.480898	152.725408
29400	-21.33763	149.059737
28435	-31.899311	152.503209
27310	-25.640978	152.791302
26685	-34.726283	149.729215
26285	-27.576308	151.852689
26245	-28.38059	153.31648
25800	-30.375791	153.019648
25345	-28.259764	152.055174
25285	-28.440886	115.004595
25145	-35.156446	136.456454
24990	-36.68892	146.482439
24610	-33.310653	150.356874
24380	-36.881534	141.940832
24345	-23.074563	150.894331
23785	-28.056979	152.975131
23335	-16.230854	145.299094
23040	-36.78137	144.457937
22920	-34.905438	117.863286
22895	-33.208801	151.377213
22745	-25.07645	151.78942
22635	-42.544215	146.45502
22310	-31.927892	146.615174
22195	-41.456389	145.503726
22060	-35.811358	137.541715
21990	-28.499375	152.88504
21495	-36.027154	147.880991
20930	-32.741737	151.543675
20755	-41.710417	146.165998
20480	-30.459807	152.840266
20450	-35.628428	149.752107
20270	-35.317402	149.257101
20260	-20.808597	149.271699
20035	-21.017327	137.432341
19815	-25.571054	151.644182
19625	-37.927953	140.719634
19525	-18.552533	146.49572
19305	-29.630052	151.162025
19270	-36.177296	149.129166
19160	-31.387394	152.466916
18945	-34.595027	150.410978
18830	-33.728945	115.302732
18720	-34.196526	149.254163
18575	-28.92786	152.749759
18535	-18.020178	145.842063
18445	-25.337998	152.78368
18355	-42.304288	146.958381
17950	-34.042913	150.525292
17860	-24.860668	150.975499
17750	-23.446826	151.917285
17725	-30.115913	151.673028
17650	-36.988914	142.7154
17550	-35.767974	143.769445
17020	-31.333592	151.138322
16990	-37.978862	146.342932
16905	-31.770375	152.292395
16660	-19.787858	146.791529
16475	-17.520343	145.888782
16465	-27.98728	152.523366
16360	-35.671272	150.125945
16315	-37.670456	147.561112
15945	-31.725436	152.747152
15540	-38.209584	143.244766
15510	-28.121399	152.600598
15500	-37.171788	144.544716
15490	-16.923761	145.742303
15295	-37.758248	143.637463
15255	-20.465423	148.516317
15225	-41.465311	146.193428
15090	-35.379935	148.383619
15070	-32.708935	150.059088
14895	-32.977861	151.317476
14875	-33.325373	151.189243
14855	-27.656074	152.224616
14695	-9.584901	143.769211
14650	-38.181608	144.427419
14620	-26.73282	148.690231
14590	-30.329085	152.621062
14560	-32.623108	152.332617
14550	-37.287848	144.170995
14530	-27.957654	151.103872
14525	-36.688551	143.230699
14520	-34.487779	147.583811
14310	-43.571087	146.524064
14275	-34.312823	116.402179
13885	-21.145063	116.349933
13830	-30.493397	151.906153
13785	-32.672797	134.37909
13590	-37.021478	143.611335
13580	-33.476768	147.811688
13555	-37.571941	143.864505
13510	-34.867709	139.497207
13490	-34.06024	150.153221
13480	-27.663074	151.550271
13375	-25.765416	151.105529
13295	-41.08422	145.862079
13200	-35.348388	143.336906
13185	-36.2835	143.364316
13115	-38.631942	146.815723
13105	-29.36691	153.104789
13075	-31.896269	116.742895
13050	-35.227753	147.923797
12780	-26.635087	152.917384
12660	-32.196739	152.454216
12645	-36.25486	150.225372
12645	-26.576904	151.522575
12590	-35.053523	148.102866
12315	-36.669929	146.062514
12295	-32.553282	148.989227
12295	-28.802491	114.862505
