lat,lng,val
-16.934184,145.994075,61000
-29.320772,153.271074,57040
-33.820797,149.474401,56640
-26.153831,152.616943,52835
-32.685033,149.602925,52115
-23.279639,150.885772,51765
-28.706486,153.25943,46870
-32.760486,150.972137,45295
-34.863483,150.61644,41440
-37.482132,143.662387,39825
-27.627661,151.94182,38060
-32.24224,148.657282,36485
-33.233929,149.116263,34910
-35.07459,147.376202,34190
-36.737758,149.699222,33550
-31.973082,151.865806,32390
-24.88776,152.297855,31210
-27.480898,152.725408,29745
-21.33763,149.059737,29400
-31.899311,152.503209,28435
-25.640978,152.791302,27310
-34.726283,149.729215,26685
-27.576308,151.852689,26285
-28.38059,153.31648,26245
-30.375791,153.019648,25800
-28.259764,152.055174,25345
-28.440886,115.004595,25285
-35.156446,136.456454,25145
-36.68892,146.482439,24990
-33.310653,150.356874,24610
-36.881534,141.940832,24380
-23.074563,150.894331,24345
-28.056979,152.975131,23785
-16.230854,145.299094,23335
-36.78137,144.457937,23040
-34.905438,117.863286,22920
-33.208801,151.377213,22895
-25.07645,151.78942,22745
-42.544215,146.45502,22635
-31.927892,146.615174,22310
-41.456389,145.503726,22195
-35.811358,137.541715,22060
-28.499375,152.88504,21990
-36.027154,147.880991,21495
-32.741737,151.543675,20930
-41.710417,146.165998,20755
-30.459807,152.840266,20480
-35.628428,149.752107,20450
-35.317402,149.257101,20270
-20.808597,149.271699,20260
-21.017327,137.432341,20035
-25.571054,151.644182,19815
-37.927953,140.719634,19625
-18.552533,146.49572,19525
-29.630052,151.162025,19305
-36.177296,149.129166,19270
-31.387394,152.466916,19160
-34.595027,150.410978,18945
-33.728945,115.302732,18830
-34.196526,149.254163,18720
-28.92786,152.749759,18575
-18.020178,145.842063,18535
-25.337998,152.78368,18445
-42.304288,146.958381,18355
-34.042913,150.525292,17950
-24.860668,150.975499,17860
-23.446826,151.917285,17750
-30.115913,151.673028,17725
-36.988914,142.7154,17650
-35.767974,143.769445,17550
-31.333592,151.138322,17020
-37.978862,146.342932,16990
-31.770375,152.292395,16905
-19.787858,146.791529,16660
-17.520343,145.888782,16475
-27.98728,152.523366,16465
-35.671272,150.125945,16360
-37.670456,147.561112,16315
-31.725436,152.747152,15945
-38.209584,143.244766,15540
-28.121399,152.600598,15510
-37.171788,144.544716,15500
-16.923761,145.742303,15490
-37.758248,143.637463,15295
-20.465423,148.516317,15255
-41.465311,146.193428,15225
-35.379935,148.383619,15090
-32.708935,150.059088,15070
-32.977861,151.317476,14895
-33.325373,151.189243,14875
-27.656074,152.224616,14855
-9.584901,143.769211,14695
-38.181608,144.427419,14650
-26.73282,148.690231,14620
-30.329085,152.621062,14590
-32.623108,152.332617,14560
-37.287848,144.170995,14550
-27.957654,151.103872,14530
-36.688551,143.230699,14525
-34.487779,147.583811,14520
-43.571087,146.524064,14310
-34.312823,116.402179,14275
-21.145063,116.349933,13885
-30.493397,151.906153,13830
-32.672797,134.37909,13785
-37.021478,143.611335,13590
-33.476768,147.811688,13580
-37.571941,143.864505,13555
-34.867709,139.497207,13510
-34.06024,150.153221,13490
-27.663074,151.550271,13480
-25.765416,151.105529,13375
-41.08422,145.862079,13295
-35.348388,143.336906,13200
-36.2835,143.364316,13185
-38.631942,146.815723,13115
-29.36691,153.104789,13105
-31.896269,116.742895,13075
-35.227753,147.923797,13050
-26.635087,152.917384,12780
-32.196739,152.454216,12660
-36.25486,150.225372,12645
-26.576904,151.522575,12645
-35.053523,148.102866,12590
-36.669929,146.062514,12315
-32.553282,148.989227,12295
-28.802491,114.862505,12295
-36.792946,140.496496,12235
-19.914965,147.133033,12230
-39.830946,144.159775,12190
